Designator,Footprint,Center-X(mm),Center-Y(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Layer,Rotation,Ident
"D600","SOIC127P600X175-8","22.8","46.15","22.8","46.15","25.4","44.245","Top","180","ICUSB6B1-S10"
"IC500","SOP50P490X110-16EP","109.118","10.525","109.118","10.525","111.243","8.775","Top","180","ICLTC3260-S10"
"IC702","SOP65P490X110-8","130.15","56.033","130.15","56.033","129.175","53.833","Top","90","ICOP2177ARM-S10"
"IC703","SOP65P490X110-8","130.225","40.36","130.225","40.36","129.25","38.16","Top","90","ICOP2177ARM-S10"
"IC704","SOP65P490X110-8","130.05","25.27","130.05","25.27","129.075","23.07","Top","90","ICOP2177ARM-S10"
"IC201","SOP65P640X120-16","99.2","45.164","99.2","45.164","101.475","48.014","Top","270","ICAD5684-S00"
"T400","SOT65P210X110-3FET","18.4","90.6","18.4","90.6","17.45","90.6","Top","90","TRBSS84-S11"
"T402","SOT65P210X110-3FET","18.4","85","18.4","85","17.45","85","Top","90","TRBSS84-S11"
"T404","SOT65P210X110-3FET","18.4","95.4","18.4","95.4","17.45","95.4","Top","90","TRBSS84-S11"
"IC300","SOT95P280X145-6","86.973","21.616","86.973","21.616","88.268","20.666","Top","180","ICADR3425ARJ-S10"
"T300","SOT190P240-3-FET","75.425","15.173","75.425","15.173","74.475","16.348","Top","180","TRBSS138-S20"
"T301","SOT190P240-3-FET","80.4","15.198","80.4","15.198","79.45","16.373","Top","180","TRBSS138-S20"
"T302","SOT190P240-3-FET","85.3","15.198","85.3","15.198","84.35","16.373","Top","180","TRBSS138-S20"
"T401","SOT190P240-3-FET","30.2","89.75","30.2","89.75","29.025","89.75","Top","90","TRBSS123-S20"
"T403","SOT190P240-3-FET","30.2","84.15","30.2","84.15","29.025","84.15","Top","90","TRBSS123-S20"
"T405","SOT190P240-3-FET","30.2","94.6","30.2","94.6","29.025","94.6","Top","90","TRBSS123-S20"
"S200","SW_TASTER_SMD_3.6X.2.6MM","70.465","21.448","70.465","21.448","71.94","20.498","Top","180","PATASTKMT2-S10"
"IC501","TO127P1435X457-7","113.345","89.3","110.801","89.322","120","85.49","Top","90","ICLM2676ADJ-S11"
"IC502","TO127P1435X457-7","66.044","89.145","63.5","89.167","72.699","85.335","Top","90","ICLM2676ADJ-S11"
"X600","WE_632723300011","6.74","46.225","4.945","46.225","10.58","48.975","Top","270","ST632723300011-S10"
"X200","WPPRO_943-11-002","17.77","8.55","19.04","8.55","19.04","8.55","Top","180","ST102G06-K12"
"X201","WPPRO_943-11-002","25.87","8.55","24.6","8.55","24.6","8.55","Top","0","ST102G06-K12"
"X203","WPPRO_943-11-006-XX","9.2","25.65","9.2","25.65","9.2","19.3","Top","90","ST106G06-K12"
